"m","Re_omega","Im_omega"
18.2,17.16290124379617,0.0009834518810913303
18.4,17.351146070762695,0.000903955901591701
18.6,17.539416069014177,0.0008304876701041194
18.8,17.727709381835293,0.0007626265582158659
19.,17.916024276147528,0.000699978325155925
19.2,18.104359135417017,0.0006421736488454248
19.4,18.292712452887002,0.0005888667358688238
19.6,18.481082825123593,0.0005397340044788072
19.8,18.66946894586411,0.0004944728354597113
20.,18.85786960015796,0.0004528003862992391
20.2,19.046283658790415,0.0004144524646638227
20.4,19.234710072979944,0.00037918245764650076
20.6,19.423147869340145,0.00034676031366454615
20.8,19.611596145097437,0.00031697157423392363
21.,19.800054063555873,0.0002896164531452649
21.2,19.988520849800537,0.0002645089608173677
21.4,20.176995786631092,0.00024147607181483193
21.6,20.365478210717146,0.00022035693369155992
21.8,20.5539675089671,0.00020100211546629772
22.,20.742463115102286,0.00018327289415462103
22.2,20.930964506428207,0.00016704057787783497
22.4,21.119471200794813,0.00015218586414682332
22.6,21.307982753737754,0.0001385982319812419
22.8,21.49649875579278,0.000126175366574523
23.,21.68501882997537,0.00011482261525550876
23.2,21.873542629417997,0.00010445247353039119
23.4,22.062069835157455,0.00009498410001592409
23.6,22.250600154064806,0.00008634285909820517
23.8,22.439133316910805,0.00007845989017206441
24.,22.627669076559695,0.00007127170233534306
24.2,22.81620720628453,0.00006471979343099906
24.4,23.0047474981974,0.00005875029234872453
24.6,23.19328976178809,0.00005331362351713173
24.8,23.38183382256498,0.0000483641925379351
25.,23.57037952079219,0.00004386009193517504
25.2,23.758926710317215,0.00003976282601553867
25.4,23.947475257483514,0.0000360370538602885
25.6,24.1360250401228,0.000032650349495193976
25.8,24.32457594662194,0.000029572978312101537
26.,24.513127875059716,0.00002677768884425714
26.2,24.70168073240877,0.000024239519027065883
26.4,24.890234433798508,0.00002193561610646308
26.6,25.07878890183473,0.000019845069388299032
26.8,25.267344065972175,0.000017948755053915087
27.,25.45589986193623,0.000016229192299221523
27.2,25.644456231190386,0.000014670410086893542
27.4,25.83301312044612,0.000013257823833601783
27.6,26.021570481212173,0.000011978121386322353
27.8,26.210128269380306,0.000010819157673574037
28.,26.39868644484484,9.76985744876746e-6
28.2,26.587244971153474,8.820125573597702e-6
28.4,26.775803815186926,7.960764319458557e-6
28.6,26.96436294686533,7.18339719410869e-6
28.8,27.152922338879172,6.480398829197959e-6
29.,27.341481966442956,5.84483049170051e-6
29.2,27.53004180706977,5.270380808747883e-6
29.4,27.71860184036508,4.75131132077099e-6
29.6,27.907162047838245,4.282406502216374e-6
29.8,28.095722412730296,3.858927912382266e-6
30.,28.284282919856675,3.4765721611158263e-6
30.2,28.472843555463676,3.1314323952249814e-6
30.4,28.661404307097488,2.819963031494622e-6
30.6,28.849965163484793,2.5389474811718606e-6
30.8,29.038526114423913,2.285468628718722e-6
31.,29.227087150685666,2.056881844547605e-6
31.2,29.415648263923067,1.8507903273836918e-6
31.4,29.604209446589152,1.6650225868708544e-6
31.6,29.79277069186219,1.497611891087644e-6
31.8,29.98133199357769,1.346777516803653e-6
32.,30.169893346166575,1.2109076526212285e-6
32.2,30.358454744598998,1.0885438166513448e-6
32.4,30.547016184333323,9.783666611040014e-7
32.6,30.735577661269772,8.791830461714533e-7
32.8,30.924139171708376,7.899142748852744e-7
33.,31.112700712310808,7.095853892735923e-7
33.2,31.30126228006576,6.37315436169928e-7
33.4,31.48982387225757,5.723086184661326e-7
33.6,31.678385486437758,5.138462544940526e-7
33.8,31.866947120399264,4.612794745977149e-7
34.,32.055508772153075,4.1402258985263307e-7
34.2,32.24407043990711,3.715470733326139e-7
34.4,32.43263212204707,3.333760993470777e-7
34.6,32.62119381711908,2.990795907018981e-7
34.8,32.80975552381408,2.682697283011733e-7
35.,32.99831724095364,2.405968813318096e-7
35.2,33.18687896747709,2.1574591988156267e-7
35.4,33.37544070243002,1.9343287515710228e-7
35.6,33.56400244495375,1.7340191551325418e-7
35.8,33.75256419427593,1.5542260929803305e-7
36.,33.94112594970193,1.3928744807935392e-7
36.2,34.12968771060721,1.248096061661254e-7
36.4,34.31824947643032,1.1182091448535173e-7
36.6,34.5068112466666,1.0017002884334944e-7
36.8,34.695373020862576,8.972077439762039e-8
37.,34.883934798610774,8.035064980969955e-8
37.2,35.072496579545174,7.194947605085809e-8
37.4,35.26105836333702,6.441817620342987e-8
37.6,35.44962014969111,5.7667673851440214e-8
37.8,35.63818193834235,5.161789879505227e-8
38.,35.82674372905281,4.619688986326319e-8
38.2,36.01530552160891,4.1339985546739746e-8
38.4,36.20386731581899,3.698909403548377e-8
38.6,36.39242911151108,3.309203503135945e-8
38.8,36.5809909085309,2.9601946420023603e-8
39.,36.76955270674008,2.647674953657726e-8
39.2,36.958114506014496,2.3678667349909945e-8
39.4,37.14667630624287,2.1173790427391025e-8
39.6,37.335238107325424,1.8931686029005276e-8
39.8,37.52379990917273,1.6925046122573184e-8
40.,37.7123617117046,1.512937051331836e-8
40.2,37.90092351484922,1.3522681645389856e-8
40.4,38.08948531854219,1.2085267963352074e-8
40.6,38.27804712272585,1.0799453021172429e-8
40.8,38.466608927348545,9.64938779765718e-9
41.,38.655170732364,8.620863923159373e-9
41.2,38.843732537730766,7.701145745038172e-9
41.4,39.032294343411756,6.878819360911529e-9
41.6,39.220856149373745,6.143656931152742e-9
41.8,39.40941795558699,5.486494747103791e-9
42.,39.597979762024885,4.89912368072481e-9
42.2,39.78654156866361,4.37419077633671e-9
42.4,39.97510337548184,3.905110867078177e-9
42.6,40.163665182460505,3.485987208904007e-9
42.8,40.35222698958256,3.1115402245040873e-9
43.,40.540788796832736,2.7770435394258426e-9
43.2,40.72935060419738,2.478266573850437e-9
43.4,40.91791241166428,2.211423026733511e-9
43.6,41.10647421922254,1.973124655127497e-9
43.8,41.29503602686239,1.760339811137726e-9
44.,41.48359783457511,1.570356252748286e-9
44.2,41.6721596423529,1.4007477932479766e-9
44.4,41.86072145018879,1.2493443977010944e-9
44.6,42.04928325807656,1.1142053743038529e-9
44.8,42.237845066010635,9.935953439631558e-10
45.,42.426406873986046,8.859627034088345e-10
45.2,42.614968681998356,7.899203259461427e-10
45.4,42.8035304900436,7.042282698824282e-10
45.6,42.992092298118216,6.277782880010739e-10
45.8,43.18065410621905,5.595799524607886e-10
46.,43.369215914343286,4.987482283985177e-10
46.2,43.55777772248838,4.4449234651699924e-10
46.4,43.7463395306521,3.9610584023061234e-10
46.6,43.93490133883242,3.529576266948874e-10
46.8,44.12346314702754,3.1448402340864334e-10
47.,44.31202495523588,2.801816031911295e-10
47.2,44.50058676345599,2.4960080032425665e-10
47.4,44.6891485716866,2.2234018962431752e-10
47.6,44.87771037992657,1.9804136826983636e-10
47.8,45.066272188174885,1.7638437745369968e-10
48.,45.25483399643064,1.5708360743087976e-10
48.2,45.44339580469303,1.39884135372101e-10
48.4,45.63195761296132,1.245584506756154e-10
48.6,45.82051942123489,1.1090352709411197e-10
48.8,46.00908122951314,9.873820525596869e-11
49.,46.19764303779558,8.790085294844195e-11
49.2,46.38620484608174,7.82472739289798e-11
49.4,46.574766654371224,6.964883907925158e-11
49.6,46.763328462663665,6.199081645034471e-11
49.8,46.951890270958735,5.517087919895801e-11
