"m","Re_omega","Im_omega"
3.5,5.512206320275224,0.2891291596176461
3.5240224435549896,5.532530265850785,0.2872623976243748
3.5482097664797956,5.5530163645936135,0.2854024503135599
3.5725631004330887,5.573665841775484,0.2835493501398117
3.597083584840743,5.5944799306890065,0.2817031290351094
3.62177236694915,5.6154598726891995,0.27986381840534286
3.64663060187888,5.636606917235338,0.27803144912694416
3.6716594526787474,5.657922321933135,0.2762060515436077
3.6968600903802105,5.67940735257719,0.2743876554631043
3.7222336940521696,5.701063283193767,0.27257629015418633
3.747781450856127,5.722891396083883,0.27077198434358885
3.7735045561017357,5.744892981866718,0.2689747662131246
3.7994042133027217,5.76706933952335,0.26718466339687663
3.825481634233195,5.789421776440832,0.265401702978488
3.851738038984343,5.8119516084565905,0.2636259114885511
3.8781746560215185,5.834660159903195,0.2618573149020958
3.9047927222417096,5.8575487636534564,0.2600959386361799
3.9315934830314205,5.880618761165902,0.25834180754757996
3.9585781923249317,5.9038715025306026,0.2565949459305863
3.985748112662972,5.927308346515377,0.2548553775149012
4.013104515251788,5.950930660612378,0.25312312546364196
4.0406486800226205,5.974739821085051,0.2513982123714493
4.068381895691589,5.998737213015497,0.24968066026270283
4.096305459819987,6.022924230352222,0.24797049058984244
4.124420678874993,6.047302275958303,0.2462677242317986
4.152728868290797,6.071872761659947,0.24457238149253074
4.181231352530138,6.0966371082954804,0.2428844820996752
4.209929465146283,6.121596745764764,0.24120404520330202
4.238824548845417,6.14675311307903,0.23953108937478304
4.267917955549459,6.172107658411158,0.23786563260577073
4.29721104645932,6.197661839146401,0.2362076923072877
4.326705192118593,6.22341712193356,0.23455728530892828
4.356401772477664,6.249374982736604,0.232914427858173
4.386302176958294,6.2755369068867815,0.2312791356198139
4.416407804518611,6.301904389135173,0.22965142367549404
4.446720063718574,6.328478933705749,0.22803130652335918
4.4772403727858645,6.355262054348878,0.22641879807782328
4.507970159682258,6.382255274395376,0.22481391166944603
4.538910862170414,6.409460126811003,0.22321666004492585
4.570063927881162,6.436878154251497,0.22162705536720415
4.601430814381226,6.464510909118113,0.22004510921568463
4.633012989241417,6.492359953613675,0.21847083258656544
4.664811930105299,6.52042685979916,0.2169042358932845
4.696829124758327,6.548713209650815,0.2153453289670784
4.729066071197452,6.577220595117805,0.21379412105765408
4.761524277701213,6.605950618180425,0.21225062083397306
4.794205262900297,6.63490489090884,0.21071483638514907
4.827110555848599,6.664085035522408,0.20918677522145668
4.860241696094763,6.69349268444956,0.2076664442754523
4.893600233754205,6.72312948038825,0.20615384990320684
4.927187729581647,6.752997076366994,0.20464899788564844
4.961005755044136,6.7830971358064875,0.20315189343001636
4.995055892394575,6.813431332581827,0.20166254117142407
5.0293397347457365,6.844001351085312,0.2001809451745324
5.063858886144821,6.874808886289884,0.19870710893532972
5.098614961648494,6.905855643813154,0.1972410353830215
5.133609587398444,6.937143339982056,0.19578272688202633
5.168844400697483,6.968673701898138,0.19433218523407775
5.204321050086136,7.000448467503478,0.1928894116804322
5.240041195419775,7.032469385647233,0.19145440690418158
5.276006507946289,7.064738216152857,0.19002717103266847
5.31221867038426,7.09725672988594,0.18860770364000548
5.34867937700171,7.130026708822741,0.1871960037496948
5.385390333695357,7.163049946119358,0.1857920698373496
5.422353258070438,7.196328246181587,0.18439589983351395
5.459569879521072,7.22986342473546,0.18300749112658163
5.497041939311162,7.263657308898447,0.1816268405658123
5.534771190655881,7.297711737251385,0.18025394446444284
5.5727593988036865,7.332028559911069,0.1788887986028947
5.611008341118915,7.366609638603565,0.1775313982320734
5.649519807164946,7.4014568467382365,0.17618173807676105
5.688295598787924,7.43657206948247,0.17483981233909918
5.727337530201062,7.471957203837135,0.17350561470216136
5.766647428069528,7.507614158712773,0.1721791383336133
5.806227131595909,7.543544855006511,0.17086037588945965
5.846078492606255,7.579751225679715,0.1695493195178761
5.886203375636733,7.61623521583641,0.16824596086312427
5.9266036580208565,7.652998782802418,0.16695029106954923
5.967281229977315,7.690043896205275,0.1656623007856572
6.008237994698424,7.727372538054909,0.16438198016827157
6.049475868439165,7.764986702825086,0.1631093188867665
6.090996780606837,7.802888397535614,0.16184430612737588
6.132802673851339,7.841079641835363,0.16058693059757576
6.174895504156048,7.879562468086024,0.15933718053053944
6.2172772409293495,7.918338921446702,0.15809504368966207
