3/2	0	4619/100000
2/5	4.3763552995006354778459526567503553663328714716704799073611194796163695854857853e-97	0.98633626093293834942864680404536898200322040616110428303550183690659969631302152
19/50	3.1431659000608655523372602282196139060562076683696104412388014865523392252129083e-94	1.0797078296770385252752953753324777438619328584670023310636666417878540661583675
9/25	5.7889296953182433988355011938964277823491476777733011951232954677554087735978035e-88	1.1949978954495757835706643576756006094341685734759862397481597344173028752482438
17/50	2.6353435049046711449771050362517101522844654915778843776627936113061801745190575e-80	1.3447112400423510320330587628089835120325173705682574418924185656120266465521668
33/100	4.913475061384005660603339075174311058087473405456615099773980528218140159230601e-87	1.4397598856698881735232348984891163346537531429486325367208366805807833021256716
8/25	9.2061037312387674213128337210864519125878259089865736126288095532273365715731798e-86	1.5555647691834248110280101177910767443031452334900579283482634667233708805845435
31/100	5.1204766964039441407676623726291001460336573191928022491603103803290197509041322e-79	1.7024375324682332420029654604353415088451904071614256798165671711671506212617738
3/10	1.891487020782096101677922373547918495057530234841662675659334754938737721607614e-95	1.8997503760660075879960241788243609879465640637170224908433228363992036183614804
59/200	-4.8366698051561499655116406558895419445646119944761466523893084120698731524831836e-96	2.0286291227108224247160375260567354336498936280407274511835554797221032178089422
29/100	-2.4216885427090261534940786532297509908798358796203875398404930090803623908589522e-95	2.1887518183946282091282649135571405463354586397906072890735911941262893646771216
23/80	4.1461012910252146207978786963165122535546096702704274860634470638532280990194064e-85	2.2848524627809818570591921363362514675270699702704608824353602919238254117604521
57/200	1.7047674110004002688203591188456729199844237172084422148202740618056682221439214e-86	2.395018696506254018592175413803935389679079938637150389237017807518257355822081
113/400	8.1956752202409972450950584835081367195527259362627505877757966662371984142436972e-83	2.522806579515222587753048704903289198881317410395057107048000588905782889354524
7/25	6.970880296563393318467728995368348573869087230810934862692335857768664011481626e-79	2.6729911250748625556430695501126544666395248826839119671533178198924489071993793
111/400	1.4029367603410415824098005800542221935522263985770866308229534544825399203732767e-94	2.8520897487792011513816774892143989532815021493037892624450101046237150488786947
221/800	3.1653099655180022330552487724059994160322523320085869410647877167364271448967708e-85	2.9551862575585675294640808046769355075382514473645036327151125811610091642502613
11/40	4.8968247020732057690651466035027206036822708423661015540402187789030770389321226e-88	3.0691766425716174922112200350035274695870110474419187752431086653645808989169492
219/800	1.1611425095400682621575591678201319327186350330165321601282806221737964989776379e-85	3.1958123788564897689362945155273621399952554440151684271184515792963858956809601
109/400	3.4445261919760510975259887392261283467453829590030321244355829145276224103857021e-83	3.3372203278992310701835619589366888728025781972522154919567279410808912956509357
217/800	1.3230196475708365778779045910464165701604319665060354989657611810650813548265266e-80	3.4960115306197883030085192850516153503165893978791699076288772767072148558959441
27/100	6.8783932662934548736474045975058310535824076313918752125832734538004486616182158e-78	3.6754322430603063401131227626848391146096918562303058864061374876307028618609174
431/1600	1.4401406440757921526961275794844439480016382046124787758148707039949943759887323e-89	3.7741175860562982336569705651159791651956116343771695224702596197131377085085374
43/160	2.2968947615726748268082905424847924138247391624150470787659317365042418961864414e-93	3.87957730135520662518944732002830061149507209485037338374869213080179228452067
429/1600	6.8496511752184679603339206351541181449093444658554301958766916702139624895539472e-92	3.9925060174458246165836805033742677218129759452360129988826238936883182039454269
107/400	2.4278691431469777617822133505906020580480045970736281355592691468010514724342733e-90	4.1136970289186438253870662117731052180447651143356626301267726696480571552953615
427/1600	9.7227044068205433061374437086562659585095572186951896751965331231991786951243921e-89	4.2440607731378774331489258459769393509736684756164897605335040661150551224112715
213/800	4.4423296167150441943335137993308638323542273105212455302439037953785013287189036e-87	4.384647572668538645362352018431734048587191865036281523920408353156978441494655
17/64	2.342642502793701596408758704967513768701165845462743954179483902347361671124155e-85	4.5366758257059970715992007787782536531413450011680447473613150299117244989680157
53/200	1.4447174411752743691172889990680250010460320753855336885620509302028078697956351e-83	4.7015672211480309806657789642933789393177789819632437074978132385274307334147837
423/1600	1.0574803921666745010242744973584861227116721967211926902782144081758168732554486e-81	4.8809911049906480560509181081111016312114116375628044231696272238213534788514601
211/800	9.3433164039370222027166654058349669164606426751596102473155487945432029911098948e-80	5.0769209011598827597776211453233733115010196020408046956953493146692591782758279
843/3200	5.2436177700886271364074655654498783247937096404768811254528069044893775606295599e-92	5.1817927828796022567917528281651974617994166095103266062189367515844929207227369
421/1600	-2.0800454014218928952431951422692582903983866530464754890458151307141654128493409e-93	5.2917066002791828260485340509020814421279781993988581340495073690782696784793009
841/3200	1.1278217895477860217026136386743082869257061734184958748880698962900862269760925e-93	5.4070303660367730666010257949889126576353389975289713881251604177049971149623893
21/80	-2.4385653973471285942125625656727555263180248132945457499989526937452281618880967e-93	5.5281689406767528291318917832415718846528441526778743254690353065617501829248098
839/3200	3.1045333371847935844129356179196279663277946479985608584647695330215819704487782e-93	5.6555687553418863913780192906072311307658440972855013215881854231026022339819063
419/1600	5.4488856903882436950963358238785575743030572658471961125806729873545992810429177e-92	5.7897232797395751670536732935118758348529203857222013670722099513849387823872486
837/3200	7.5847969538424630415350860392186120110737856909151660868771310019720959107433518e-91	5.9311793763594886936335513944911729222110316539594841005162308311115954836791301
209/800	1.1752989639695391485902457563417540707068964951970138876226487811249394476363978e-89	6.0805447134168229588349557999896396932444536002960127152679494170718825010035444
167/640	1.9690795434732234565913240743600334147926207025597692617168552025208148063555924e-88	6.2384964483899565624194201270843514065024433651068888489813065264781663659075345
417/1600	3.5741193967624622598012078644666304569672804384018082958823846440991589943892825e-87	6.4057914438635501677089148848875571077338646840667916701537706591617635660630372
833/3200	7.0625067077448533875371237761824373651617685911340763850347695546813555249218327e-86	6.5832783408188467475001807085082863368946874613587940962851818214191214825683764
13/50	1.527836121507362767723573788720453559008683275557983965378977909374974984756849e-84	6.7719118957796349633420844931801737057162992220775169008359421027996238203103976
1663/6400	-5.3906880331988235673400752280936139447223448442802254604078945577989871954118879e-93	6.8707401917670991109040253346748185161124972209583904990807626756166025276306166
831/3200	-7.0659385812892464462712488501057729735297621768910430159484887131039759736185373e-93	6.972770093080097354601948397994993137810530999636251240788455223535217852154699
1661/6400	5.1417153817920014750992505629751705834168059018197160682523672163697919443620282e-94	7.07815896849409820422869901047264100663141815584580264288551147062200942541679
83/320	-3.3825709050241737034070613062376085396015205225665343330274729953004578360259844e-93	7.1870746798350073081370526440460678811403623527937176357073303739572066017153997
1659/6400	3.4801774143025766659482363647821717982869128066638315067910124445955235345674654e-93	7.2996964711411723930814781361606647745789907157977759963500115439906417791052125
829/3200	-3.8095436835936103645627457353616124399488653678531376613849341020464928226124899e-93	7.41621594981233154333055325620370109194830176230136305331427726356277188097852
1657/6400	-9.8115851621340698227331273982077380652212683565347628603010712496391294472028954e-91	7.5368381710420531525278718974117166086841089197000675130679853370418248022626049
207/800	1.4157487949014540191664380092847288367136706148645873070759610068558615884910371e-90	7.6617828384439578205378597975072096839508449035944793750383342098356762066698075
331/1280	5.9972653406600900988038488639253068932717808041273274670560006945465493225747165e-91	7.7912856356598312084677613387352358688420979437227767464116932368025405366644663
827/3200	-7.0028858985054403863749477117279968456040737012503710627896452390658801924498913e-87	7.9255997059285353672957719376320462903519260490511435604105790242520058855754548
1653/6400	-3.2182071931287830598631955568532033605168157288198201022208697206265096895363266e-88	8.0649972991574566593144032471743715917232287617984393513527835229011638108982653
413/1600	-1.3175954590285194707867726086017107610574735893349540800101007429046922189728439e-87	8.2097716090446350181049835486089697588194400019057284873847251208230819047645487
1651/6400	1.2654909353781286448685975472587365463609775216207678349000373078596502256194328e-87	8.360238826336676685977509948917079276485287278321006468050920233018046161728802
33/128	-2.2684656620855632421824938989126337048556961512064891635381382893871653153824374e-87	8.5167404384811697476653771547169962810167438217815335592519586880499623204812492
1649/6400	-6.7870675452936639477870264227756702508426042228142600182057389583386027329638605e-88	8.6796458108725280486343147483952308684239745691315656537583526352523189807226078
103/400	6.8957277145314181256091401902871446566405608006104299259287976820956417322769874e-88	8.8493550907566891676405167970073828018240069022967620292236528623722378722553152
