3/2	1.9160405042660788689723230491433523004413166780425955058108838028513028518128942e-86	0.092393169473698734537640613139944533505360280151734934972215415211354474647743778
31/20	2.5118915023625868565575815865388188634524101638248790717945740170915924906865022e-80	0.080333311983024278137236686006696096278089053649733053042601978390809535544183622
8/5	2.6488400372930610069340251048086231112916776132753527164327456199083372544400835e-81	0.069760298002076528343099604794709379367264739080853256556913822872569362578303829
33/20	2.6407548629088151494440287694800588694823016211953525946511425654575973727871397e-82	0.060503456071993479376846952435604825769281019066701920204263205328558101400192192
17/10	2.5028713637290863287679384416890612113389833967562463494039063788571319958172652e-83	0.052410241355621778033992227966046495893960942709943199061172248793100801110852036
7/4	2.2659550669879122028248938255687154181558291579383816261214163592446841727425135e-84	0.045344362016990567064766690524585938188764727035899914116230755498175958316312921
9/5	1.9676769880356566708018204069312044531032931375926166935563484675978365331155154e-85	0.039184143513132475840595714746674835387954620556489030898552683216560456844831865
37/20	1.6448025009631182120019047315967410037225093184523563923133391852214957470027771e-86	0.033821082126196700244623306306621959353082175524053283342646220121845237535208463
19/10	1.3277630439254496600115442690641113216772257983099069515115097743952590249568744e-87	0.029158552118361431035185675080501109444483532978114226887188478692203664818171764
39/20	1.0380396344288261550825159782515415494184965522758332473045770899140834518394689e-88	0.025110640460963986915719356657969347833237879967996369553325421995576371449257465
2	7.8802554804251095164860362864705904932297246805713301222564586373182423023957506e-90	0.021601090050911119090316345992147244764789908734736056559369171287837959238865657
41/20	5.8300346512195000408769951374276956872845652123389895793313462827234894418761953e-91	0.018562337336670865422004194359116517587936048510487047366519235511325184502263541
21/10	4.0188083926594223132831671252605351240206141339309165985128173598079844825739523e-92	0.015934633828741986189637547654063857551631959479467869840332514086705751103516242
43/20	1.9441527198612133175494874357896358958775398844729248545747191647151118802527773e-93	0.013665243444467654431353899378803987425479388827233124087367867538640427105254837
11/5	-2.2525133380202922215179612278323865165586148438573126982320743260551809546007221e-93	0.011707709325325253765962179102805900943852502954177472211374737823419597645334482
9/4	-2.8997298431799055579757337265761069116092803306714376070865750884888896899878849e-93	0.010021184889280455475772197322331445662475287195891605701132348284016826748086712
23/10	8.1732045608811645158940739453733203476159859366158107322245186411729661411279322e-94	0.0085698246109974201701749525540463920128636084367604209443655665027068292594676969
